Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,1/8C No Walls,,1/2C W Walls,
X,Y,X,Y,X,Y,X,Y,X,Y
341.36125654450257,0.0002489361702127659,341.36125654450257,0.0003159574468085106,341.36125654450257,0.0001882978723404255,39.19222139117426,0.00010930851063829794,50.86013462976811,0.00003111702127659571
385.3403141361257,0.00015159574468085097,385.3403141361257,0.00020904255319148936,385.3403141361257,0.00012207446808510638,47.27000747943157,0.0000805851063829787,52.05684367988033,0.00010771276595744682
429.3193717277487,0.00007898936170212757,429.3193717277487,0.00013324468085106381,429.3193717277487,0.000016755319148936253,52.35602094240838,0.00007420212765957453,53.25355272999249,0.0008002659574468086
,,,,,,52.05684367988033,0.00005265957446808512,54.45026178010471,0.00004069148936170213
,,,,,,53.55272999252057,0.0008002659574468086,55.34779356768885,0.000801063829787234
,,,,,,53.851907255048616,0.0000015957446808511234,56.544502617801044,7.978723404254533e-7
,,,,,,54.45026178010471,0.0008002659574468086,57.741211667913234,0.000019946808510638283
,,,,,,55.6469708302169,-0.000014361702127659568,61.9296933433059,0.000023936170212765875
,,,,,,55.6469708302169,0.0007986702127659574,61.9296933433059,0.000031914893617021275
,,,,,,58.33956619296933,-0.00008696808510638297,69.40912490650712,0.000028723404255319028
,,,,,,56.84367988032909,0.0007962765957446809,74.19596110695588,0.00003829787234042544
,,,,,,58.63874345549738,0.000004787234042553153,78.68362004487659,0.0000805851063829787
,,,,,,59.835452505609595,0.00016196808510638306,81.67539267015707,0.0001396276595744681
,,,,,,62.228870605833976,0.000055053191489361697,85.26551982049364,0.0002122340425531915
,,,,,,64.32311144353028,0.000029521276595744698,87.65893792071802,0.00028962765957446805
,,,,,,69.10994764397904,0.000025531914893616998,90.35153328347047,0.00035664893617021274
,,,,,,73.2984293193717,0.00003351063829787229,97.53178758414361,0.0004180851063829787
,,,,,,79.88032909498878,0.0000845744680851064,103.21615557217652,0.00042925531914893614
,,,,,,81.97456993268511,0.00010132978723404243,108.60134629768137,0.0004125
,,,,,,84.06881077038145,0.0001356382978723404,114.28571428571428,0.0003574468085106383
,,,,,,89.15482423335826,0.00017313829787234038,116.9783096484667,0.00033271276595744686
,,,,,,94.24083769633509,0.0001707446808510638,119.37172774869109,0.0004507978723404255
,,,,,,96.3350785340314,0.0002002659574468085,121.16679132385937,0.0005656914893617021
,,,,,,98.72849663425578,0.0002337765957446809,123.56020942408375,0.0006486702127659575
,,,,,,100.82273747195214,0.00023537234042553192,126.25280478683618,0.0006375
,,,,,,105.31039640987282,0.0002632978723404255,132.83470456245325,0.0005457446808510638
,,,,,,108.00299177262528,0.0002712765957446809,136.72400897531784,0.0004914893617021277
,,,,,,113.98653702318623,0.0002688829787234042,141.51084517576663,0.0004531914893617021
,,,,,,115.48242333582647,0.0002617021276595745,142.10919970082273,0.00048670212765957447
,,,,,,116.67913238593866,0.00020984042553191492,146.59685863874347,0.0005210106382978724
,,,,,,118.1750186985789,0.0002904255319148936,151.08451757666415,0.0005417553191489361
,,,,,,118.77337322363499,0.00034148936170212766,157.36724008975318,0.000525
,,,,,,119.07255048616304,0.00042686170212765957,159.76065818997753,0.0004954787234042553
,,,,,,120.86761406133135,0.0005648936170212766,165.74420344053854,0.00043404255319148935
,,,,,,122.36350037397159,0.0006343085106382979,169.03515332834704,0.0004101063829787234
,,,,,,124.15856394913988,0.0005625000000000001,173.8219895287958,0.00041648936170212764
,,,,,,127.15033657442035,0.0004882978723404255,176.81376215407627,0.00044202127659574464
,,,,,,128.94540014958864,0.000463563829787234,178.60882572924456,0.0004683510638297872
,,,,,,130.1421091997008,0.00045478723404255314,181.6005983545251,0.00047393617021276597
,,,,,,131.03964098728494,0.0004476063829787234,186.08825729244572,0.0004555851063829787
,,,,,,133.1338818249813,0.0004460106382978723,191.47344801795063,0.0004954787234042553
,,,,,,134.03141361256544,0.00045957446808510635,193.26851159311892,0.0005042553191489361
,,,,,,135.52729992520568,0.00043484042553191486,196.2602842183994,0.0005050531914893618
,,,,,,137.02318623784592,0.00042925531914893614,201.04712041884815,0.0005273936170212767
,,,,,,138.8182498130142,0.00041489361702127663,206.432311144353,0.0005792553191489361
