Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,Spalart-Allm.,,Menter-SST,,Wilcox k-w,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
275.3095411507647,0.014094666782200591,275.3095411507647,0.017004634627859755,275.0182083029861,0.012599478223806386,69.04588492352511,0.00775197129762554,82.44719592134012,0.008411673922665647,78.6598689002185,0.01379737378894293
286.38018936635103,0.015091896309861987,285.79752367079385,0.016779975784713453,286.6715222141296,0.012776795479188667,70.79388201019665,0.007510883998473076,83.90386016023305,0.007238099029749204,80.1165331391114,0.010581998252939673
316.9701383831026,0.00826032838176781,316.9701383831026,0.009305344458938226,316.9701383831026,0.0068133830441472285,72.83321194464673,0.0087328309168788,87.98252002913327,0.006530867464631393,80.1165331391114,0.010581998252939673
327.4581209031318,0.00784274349360543,327.74945375091033,0.008308993145247221,328.3321194464676,0.007456926532132091,73.12454479242533,0.010051170600674935,92.64384559359067,0.006723980861961154,82.73852876911869,0.008411685632185252
338.5287691187181,0.0053351498701414285,338.5287691187181,0.005688847619337568,338.5287691187181,0.005110069484289336,73.41587764020392,0.013363079416303861,92.93517844136923,0.009023027941255679,86.52585579024031,0.006788043643721471
349.59941733430435,0.0034867202338156877,349.0167516387472,0.003808240223136604,349.59941733430435,0.0033098713592176164,75.45520757465403,0.016337437910272288,96.1398397669337,0.011595504012852365,90.31318281136197,0.0065952698224602604
370.86671522214124,0.0021370927136343323,370.86671522214124,0.0025068676332484774,371.1580480699198,0.002024564230227892,77.78587035688273,0.01485843190797254,102.54916241806262,0.01344463622035442,91.18718135469774,0.007592089516935475
,,,,,,80.40786598688999,0.01106432507499947,107.21048798252002,0.01220688145048161,94.97450837581937,0.010180666177989378
,,,,,,81.86453022578294,0.008845734104912609,114.78514202476327,0.010599468856190702,101.0924981791697,0.01283364519687215
,,,,,,85.36052439912598,0.007222080406929222,120.9031318281136,0.009088460736809809,102.84049526584118,0.013332107736947981
,,,,,,87.98252002913327,0.006579098975885413,126.72978878368534,0.008927923223021848,110.70648215586306,0.011419240614234556
,,,,,,90.89584850691915,0.006691756264007512,128.18645302257826,0.011130554117886755,116.53313911143479,0.010020760978260103
,,,,,,93.809176984705,0.008154895867242148,130.2257829570284,0.01352613447680695,122.94246176256371,0.009088542703447047
,,,,,,96.72250546249086,0.010775591740573248,133.13911143481425,0.014362264433739337,127.31245447924252,0.008976178153315079
,,,,,,102.25782957028403,0.013267775636236743,140.42243262927892,0.012626222766584774,129.06045156591404,0.010792968667667437
,,,,,,104.58849235251273,0.01293024873361545,146.54042243262924,0.010729362557171726,130.80844865258555,0.01347792638459214
,,,,,,111.28914785142024,0.011162029306585664,150.32774945375087,0.009780961726264213,133.43044428259284,0.014394430484094955
,,,,,,117.69847050254916,0.009618878555888362,152.65841223597957,0.010600991093739385,139.54843408594317,0.012867345194296055
,,,,,,121.48579752367078,0.009024175474176993,157.319737800437,0.011951660761165609,144.20975965040054,0.01142058720898916
,,,,,,127.02112163146393,0.008927934932541454,160.23306627822282,0.013591649238998317,149.74508375819372,0.010182867567675166
,,,,,,128.18645302257826,0.009394219712742062,163.43772760378732,0.014524253927958346,152.36707938820098,0.00982927520415547
,,,,,,130.80844865258555,0.011130659503563203,168.68171886380188,0.012884593316674587,157.90240349599412,0.011244288681812537
,,,,,,133.43044428259284,0.014378353313676949,175.67370721048795,0.011807703927138683,164.60305899490163,0.01455645510687278
,,,,,,136.9264384559359,0.013429940773249834,181.79169701383827,0.011132708669494121,167.5163874726875,0.01349547895448041
,,,,,,142.46176256372902,0.011629520167305613,184.70502549162416,0.011277520298452231,171.59504734158773,0.012450626810584465
,,,,,,149.45375091041512,0.01013462434690154,187.61835396941004,0.014155450898471436,178.2957028404952,0.011454111563618988
,,,,,,152.94974508375816,0.00947560087399854,189.65768390386012,0.01510408591977105,184.12235979606697,0.011068493663978938
,,,,,,159.65040058266567,0.011807059903560395,193.44501092498174,0.014075299236773508,186.45302257829567,0.012531609848174365
