Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,Spalart-Allmaras,,Menter-SST,,Wilcox k-w,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,,,,,133.5247047589559,0.00032067851373182544,168.07532265860524,0.00039741518578352184,148.19829987484826,0.00046768982229402256
,,,,,,135.86110641677294,0.0003053311793214863,172.7530894982468,0.00038368336025848147,151.69947516642574,0.0004329563812600969
,,,,,,138.78580384862198,0.0003004846526655897,177.43865616132874,0.0003966074313408724,156.08344865648039,0.0004151857835218094
,,,,,,141.42048966346124,0.0003045234248788369,182.7042460584301,0.0003917609046849758,159.30383030420495,0.0004208400646203555
,,,,,,144.05990264402197,0.0003247172859450727,187.6753335310864,0.00038045234248788363,162.8265141998149,0.00045961227786752833
,,,,,,146.98743637530387,0.0003295638126009692,194.99936774158476,0.0004103392568659128,165.4645090306592,0.00047495961227786757
,,,,,,149.32691069083978,0.0003247172859450727,198.80166348961737,0.00040468497576736674,169.55799818713194,0.00046445880452342493
,,,,,,151.66473049837325,0.0003142164781906301,205.23439060334002,0.0003885298869143781,173.9426807520448,0.0004491114701130856
,,,,,,154.88062133866242,0.0003045234248788369,209.91948454984973,0.00039983844911147014,178.04113343252502,0.00045557350565428117
,,,,,,158.1002939115287,0.0003077544426494345,219.86780481060018,0.00039822294022617117,180.96984895523727,0.00046445880452342493
,,,,,,161.9096804081435,0.0003263327948303716,225.72263591487794,0.00040710823909531505,184.76978112040916,0.00045072697899838456
,,,,,,165.7162306053254,0.00033521809369951535,232.74129521977184,0.0003933764135702747,187.98472652755405,0.00043780290791599363
,,,,,,168.0559412791474,0.0003311793214862682,236.2516884845061,0.00039014539579967683,191.7924585161663,0.00045072697899838456
,,,,,,170.97945691956608,0.0003222940226171244,239.17874949921585,0.0003933764135702747,198.24196706819998,0.0004919224555735057
,,,,,,174.4893774677282,0.0003174474959612278,248.25301681807386,0.00040468497576736674,201.16642814176296,0.00048626817447495964
,,,,,,177.7097591154527,0.00032310177705977385,254.10524798120477,0.00040468497576736674,206.7177752067249,0.00045799676898222936
,,,,,,181.22464318762238,0.00033521809369951535,262.8793402767519,0.00039014539579967683,209.9367387047329,0.0004588045234248788
,,,,,,182.6877009784051,0.00033521809369951535,268.7315714398829,0.00039014539579967683,213.1561749193132,0.0004612277867528272
,,,,,,185.6105075439656,0.0003239095315024233,277.2165975515645,0.00038772213247172864,218.4250738324196,0.00046768982229402256
,,,,,,188.8275801756851,0.00031825525040387725,283.6531063978643,0.0003844911147011308,221.64687362986055,0.0004781906300484653
,,,,,,192.3405733815662,0.0003239095315024233,290.3845903851813,0.0003893376413570274,225.7476898932015,0.0004927302100161551
,,,,,,196.14830537017843,0.0003368336025848142,295.6565619560066,0.0004063004846526656,229.25808315793572,0.0004894991922455575
,,,,,,198.49037962686117,0.0003408723747980614,299.15962811387266,0.00037802907915993544,232.7632765403765,0.0004684975767366721
,,,,,,201.7079249751528,0.0003368336025848142,300.58486857888397,0.00024878836833602585,236.27201529710825,0.00045961227786752833
,,,,,,204.3402472071314,0.00033279483037156705,305.2649990013863,0.0002431340872374797,238.90670111194757,0.0004636510500807755
,,,,,,207.55779255542305,0.0003287560581583199,315.2182827861442,0.00025848142164781906,243.59581314932055,0.0004886914378029079
,,,,,,209.9003395286779,0.0003344103392568659,318.14605287571214,0.0002641357027463651,249.74254673689657,0.0004951534733441034
,,,,,,212.53526170180325,0.0003392568659127625,322.5352262480604,0.0002641357027463651,255.00719120085373,0.0004870759289176091
,,,,,,216.04565496653757,0.0003360258481421648,328.08893689588297,0.00024394184168012925,259.97662416550753,0.00047011308562197097
,,,,,,220.14150770587096,0.0003336025848142165,331.3031732281696,0.0002285945072697899,263.78057442154267,0.00047011308562197097
,,,,,,224.53139015307747,0.0003360258481421648,337.7288095933102,0.00018820678513731823,266.41738746095655,0.00048142164781906304
,,,,,,228.33864942511755,0.00034733441033925696,344.44989381603995,0.00015751211631663976,269.3472847750992,0.0004943457189014541
