EQ0.3,,EQ0.5,
X,Y,X,Y
280.7657247037374,0.012278942570647221,207.11030082041933,0.020647219690063813
284.0474020054695,0.012716499544211488,210.02734731084777,0.021494986326344577
287.3290793072015,0.013701002734731085,212.94439380127622,0.025624430264357338
290.61075660893346,0.014904284412032818,214.03828623518686,0.026116681859617137
294.2570647219691,0.015615314494074752,216.59070191431172,0.025679124886052875
296.44484958979035,0.01495897903372835,217.68459434822248,0.025487693710118504
298.99726526891527,0.01391978122151322,218.77848678213311,0.02578851412944394
303.37283500455794,0.013208751139471286,220.23701002734734,0.02723792160437557
306.2898814949864,0.013236098450319055,221.69553327256156,0.02748404740200547
309.57155879671836,0.013646308113035552,222.7894257064722,0.02685505925250684
311.75934366453964,0.013044667274384688,226.8003646308113,0.023163172288058344
315.40565177757514,0.010938924339106655,228.2588878760255,0.022178669097538746
317.228805834093,0.00896991795806746,230.44667274384685,0.021467639015496812
319.7812215132178,0.007137648131267091,234.0929808568824,0.021002734731084778
323.0628988149499,0.004977210574293529,236.64539653600733,0.02138559708295351
327.07383773928893,0.003938012762078398,239.56244302643577,0.023299908842297178
330.72014585232455,0.0037192342752962633,242.11485870556064,0.024120328167730173
334.36645396536005,0.004129443938012761,245.03190519598908,0.025979945305378303
339.10665451230625,0.004758432087511394,245.76116681859614,0.026718322698268005
345.3053783044668,0.004320875113947128,247.94895168641753,0.026964448495897905
351.1394712853237,0.0037739288969917996,251.23062898814956,0.02628076572470374
358.7967183226982,0.003418413855970831,255.9708295350957,0.02431175934366454
366.8185961713765,0.0035824977210574295,258.8878760255242,0.022889699179580676
372.28805834092987,0.0033637192342752947,261.4402917046491,0.022178669097538746
379.21604375569734,0.003035551504102098,264.7219690063811,0.02165907019143118
391.6134913400183,0.0025159525979945342,268.00364630811305,0.021604375569735643
405.1048313582497,0.002105742935278033,272.3792160437557,0.022260711030082043
421.5132178669097,0.0016681859617137668,276.7547857793984,0.022260711030082043
,,280.4010938924339,0.022260711030082043
,,285.50592525068373,0.022670920692798545
,,289.51686417502276,0.02280765724703738
,,293.1631722880584,0.02261622607110301
,,298.2680036463081,0.02253418413855971
,,302.6435733819508,0.02141294439380128
,,306.2898814949864,0.019389243391066548
,,308.11303555150414,0.01701002734731085
,,311.0300820419326,0.013427529626253418
,,315.40565177757514,0.009954421148587054
,,319.05195989061076,0.007028258887876025
,,321.9690063810392,0.006864175022789427
,,324.5214220601641,0.0069188696444849596
,,328.16773017319963,0.007547857793983592
,,329.62625341841385,0.00757520510483136
,,331.81403828623525,0.007356426618049226
,,336.1896080218779,0.0063992707383773925
,,341.65907019143117,0.005496809480401096
,,344.2114858705561,0.00505925250683683
,,347.8577939835916,0.005141294439380127
,,351.86873290793073,0.005414767547857795
,,354.7857793983592,0.005278030993618961
,,358.06745670009116,0.004840474020054695
,,367.18322698268,0.00391066545123063
,,377.3928896991796,0.003144940747493167
,,387.2379216043755,0.002898814949863264
,,394.1659070191431,0.0027347310847766655
,,404.01093892433903,0.0023518687329079323
,,421.5132178669097,0.001804922515952597
