Experiment (Center Point),,Experiment (Upper Bound),,Experiment (Lower Bound),,Inert-Pressure-Body-MenterSST,
X,Y,X,Y,X,Y,X,Y
,,,,,,300.6585136406396,0.008588799734381052
,,,,,,306.3029162746942,0.008306280781362403
,,,,,,311.1947318908749,0.008070842786785456
,,,,,,313.82878645343374,0.00815311825576891
,,,,,,316.46284101599247,0.007953040783575893
,,,,,,318.7206020696143,0.007235327320015494
,,,,,,322.10724365004694,0.00612934535996901
,,,,,,332.2671683913453,0.003481987715123678
,,,,,,340.5456255879586,0.002446450113441424
,,,,,,348.82408278457194,0.0020697360411709356
,,,,,,369.14393226716834,0.0018103148691273312
,,,,,,385.7008466603951,0.001668651430468706
,,,,,,403.38664158043264,0.0016093077306181154
,,,,,,419.9435559736594,0.0015029384096065506
,,,,,,426.7168391345249,0.001432150960101821
