Experiment (Center),,Experiment (Upper Bound),,Experiment (Lower Bound),,1/8C No Walls,,1/2 W Walls,
X,Y,X,Y,X,Y,X,Y,X,Y
,,,,,,129.81132075471695,0.011539820450395618,137.96226415094335,0.009887005477784542
,,,,,,131.62264150943392,0.010975395617772369,141.2830188679245,0.009362979306147292
,,,,,,134.64150943396226,0.010612644552647595,144.30188679245282,0.008879260499087039
,,,,,,137.05660377358487,0.010088572732805844,146.41509433962264,0.008939850882531953
,,,,,,139.4716981132075,0.00928224284844796,148.5283018867924,0.010270602556299451
,,,,,,142.79245283018864,0.00859692635423007,149.73584905660377,0.0119642118076689
,,,,,,144.60377358490564,0.008213953134510045,151.54716981132069,0.013476399878271454
,,,,,,146.41509433962264,0.008214044430919054,152.15094339622638,0.012528849665246502
,,,,,,147.01886792452828,0.009181816798539258,153.66037735849054,0.011621667681071212
,,,,,,148.5283018867924,0.01051253804017042,155.1698113207547,0.011016905051734633
,,,,,,148.83018867924523,0.011883520998174071,157.28301886792448,0.011198463177115033
,,,,,,149.73584905660377,0.01414163116250761,159.99999999999997,0.01200505173463177
,,,,,,152.45283018867926,0.012629671332927571,161.50943396226413,0.012085772976262933
,,,,,,153.0566037735849,0.012206314668289715,164.52830188679243,0.011803667072428485
,,,,,,156.0754716981132,0.012287111990261716,169.96226415094335,0.011158779671332929
,,,,,,157.58490566037736,0.011944446135118686,171.1698113207547,0.010473356664637858
,,,,,,161.81132075471695,0.011319659160073037,174.79245283018864,0.010130797321972003
,,,,,,164.83018867924525,0.010916585514303103,177.2075471698113,0.010735757760194765
,,,,,,167.24528301886787,0.011158642726719417,178.11320754716976,0.012167255021302495
,,,,,,169.96226415094335,0.011340231284236155,179.32075471698116,0.0138003804017042
,,,,,,171.4716981132075,0.01089675897748022,180.83018867924525,0.014667391965916007
,,,,,,173.28301886792448,0.010191205112598906,183.84905660377356,0.014284479610468656
,,,,,,175.39622641509433,0.009062279367011563,185.66037735849054,0.013377312842361534
,,,,,,178.7169811320754,0.00869954351795496,189.28301886792448,0.012369430919050517
,,,,,,180.22641509433961,0.009183490566037737,191.69811320754715,0.012188101034692636
,,,,,,180.83018867924525,0.010756101643335363,195.3207547169811,0.011744735240413877
,,,,,,181.13207547169807,0.013114987827145467,198.64150943396223,0.011019096165550822
,,,,,,182.3396226415094,0.015010209981740718,201.96226415094335,0.010958779671332929
,,,,,,183.24528301886792,0.01557477175897748,205.5849056603773,0.011261381618989652
